Author,Known_paper,Unknown_paper,Is_same_author
robert_tibshirani,robert_tibshirani_3_7.txt,unknown,robert_tibshirani_3_7.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2.txt,unknown,thomas_l_griffiths_21.txt,YES
alex_smola,alex_smola_2_3.txt,unknown,alex_smola_2_3.txt,YES
thomas_l_griffiths,thomas_l_griffiths_6.txt,unknown,thomas_l_griffiths_21.txt,YES
tom_mitchell,tom_mitchell_3_3.txt,unknown,tom_mitchell_14.txt,YES
yann_lecun,yann_lecun_2_8.txt,unknown,yann_lecun_2_8.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2_8.txt,unknown,thomas_l_griffiths_21.txt,YES
david_blei,david_blei_2_9.txt,unknown,david_blei_19.txt,YES
yee_whye_teh,yee_whye_teh_4.txt,unknown,yee_whye_teh_4.txt,YES
trevor_hastie,trevor_hastie_2_3.txt,unknown,trevor_hastie_5.txt,YES
andrew_y_ng,andrew_y_ng_2_5.txt,unknown,andrew_y_ng_2_6.txt,YES
andrew_y_ng,andrew_y_ng_2_6.txt,unknown,andrew_y_ng_2_6.txt,YES
geoffrey_hinton,geoffrey_hinton_2_9.txt,unknown,geoffrey_hinton_18.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_8.txt,unknown,zoubin_ghahramani_2_8.txt,YES
lawrence_saul,lawrence_saul_14.txt,unknown,lawrence_saul_2_4.txt,YES
alex_smola,alex_smola_2_2.txt,unknown,alex_smola_2_3.txt,YES
trevor_hastie,trevor_hastie_5.txt,unknown,trevor_hastie_5.txt,YES
daphne_koller,daphne_koller_19.txt,unknown,daphne_koller_4.txt,YES
david_blei,david_blei_19.txt,unknown,david_blei_19.txt,YES
radford_neal,radford_neal_2_3.txt,unknown,radford_neal_19.txt,YES
michael_jordan,michael_jordan_7.txt,unknown,michael_jordan_14.txt,YES
bernard_scholkopf,bernard_scholkopf_3_1.txt,unknown,bernard_scholkopf_3_1.txt,YES
yee_whye_teh,yee_whye_teh_5.txt,unknown,yee_whye_teh_4.txt,YES
yee_whye_teh,yee_whye_teh_11.txt,unknown,yee_whye_teh_4.txt,YES
tom_mitchell,tom_mitchell_2_7.txt,unknown,tom_mitchell_14.txt,YES
radford_neal,radford_neal_15.txt,unknown,radford_neal_19.txt,YES
trevor_hastie,trevor_hastie_3_11.txt,unknown,trevor_hastie_5.txt,YES
alex_smola,alex_smola_3.txt,unknown,alex_smola_2_3.txt,YES
yee_whye_teh,yee_whye_teh_19.txt,unknown,yee_whye_teh_4.txt,YES
robert_tibshirani,robert_tibshirani_5_2.txt,unknown,robert_tibshirani_3_7.txt,YES
david_blei,david_blei_16.txt,unknown,david_blei_19.txt,YES
radford_neal,radford_neal_2_4.txt,unknown,radford_neal_19.txt,YES
bernard_scholkopf,bernard_scholkopf_17.txt,unknown,bernard_scholkopf_3_1.txt,YES
robert_tibshirani,robert_tibshirani_3_1.txt,unknown,robert_tibshirani_3_7.txt,YES
alex_smola,alex_smola_16.txt,unknown,alex_smola_2_3.txt,YES
michael_jordan,michael_jordan_14.txt,unknown,michael_jordan_14.txt,YES
geoffrey_hinton,geoffrey_hinton_18.txt,unknown,geoffrey_hinton_18.txt,YES
xiaojin_zhu,xiaojin_zhu_1.txt,unknown,xiaojin_zhu_12.txt,YES
yoshua_bengio,yoshua_bengio_12.txt,unknown,yoshua_bengio_2_2.txt,YES
michael_jordan,michael_jordan_2_4.txt,unknown,michael_jordan_14.txt,YES
lawrence_saul,lawrence_saul_8.txt,unknown,lawrence_saul_2_4.txt,YES
tom_mitchell,tom_mitchell_14.txt,unknown,tom_mitchell_14.txt,YES
daphne_koller,daphne_koller_4.txt,unknown,daphne_koller_4.txt,YES
zoubin_ghahramani,zoubin_ghahramani_14.txt,unknown,zoubin_ghahramani_2_8.txt,YES
xiaojin_zhu,xiaojin_zhu_12.txt,unknown,xiaojin_zhu_12.txt,YES
geoffrey_hinton,geoffrey_hinton_2_5.txt,unknown,geoffrey_hinton_18.txt,YES
lawrence_saul,lawrence_saul_16.txt,unknown,lawrence_saul_2_4.txt,YES
bernard_scholkopf,bernard_scholkopf_21.txt,unknown,bernard_scholkopf_3_1.txt,YES
vapnik,vapnik_7.txt,unknown,vapnik_7.txt,YES
yann_lecun,yann_lecun_9.txt,unknown,yann_lecun_2_8.txt,YES
daphne_koller,daphne_koller_10.txt,unknown,daphne_koller_4.txt,YES
vapnik,vapnik_9.txt,unknown,vapnik_7.txt,YES
yann_lecun,yann_lecun_2_7.txt,unknown,yann_lecun_2_8.txt,YES
xiaojin_zhu,xiaojin_zhu_2_9.txt,unknown,xiaojin_zhu_12.txt,YES
thorsten_joachims,thorsten_joachims_3_3.txt,unknown,thorsten_joachims_10.txt,YES
andrew_y_ng,andrew_y_ng_14.txt,unknown,andrew_y_ng_2_6.txt,YES
geoffrey_hinton,geoffrey_hinton_3_1.txt,unknown,geoffrey_hinton_18.txt,YES
yoshua_bengio,yoshua_bengio_16.txt,unknown,yoshua_bengio_2_2.txt,YES
yann_lecun,yann_lecun_2_2.txt,unknown,yann_lecun_2_8.txt,YES
zoubin_ghahramani,zoubin_ghahramani_11.txt,unknown,zoubin_ghahramani_2_8.txt,YES
daphne_koller,daphne_koller_18.txt,unknown,daphne_koller_4.txt,YES
xiaojin_zhu,xiaojin_zhu_8.txt,unknown,xiaojin_zhu_12.txt,YES
robert_tibshirani,robert_tibshirani_3_8.txt,unknown,robert_tibshirani_3_7.txt,YES
thorsten_joachims,thorsten_joachims_4_4.txt,unknown,thorsten_joachims_10.txt,YES
radford_neal,radford_neal_19.txt,unknown,radford_neal_19.txt,YES
yoshua_bengio,yoshua_bengio_2_2.txt,unknown,yoshua_bengio_2_2.txt,YES
tom_mitchell,tom_mitchell_2_8.txt,unknown,tom_mitchell_14.txt,YES
vapnik,vapnik_3_2.txt,unknown,vapnik_7.txt,YES
lawrence_saul,lawrence_saul_2_4.txt,unknown,lawrence_saul_2_4.txt,YES
trevor_hastie,trevor_hastie_3_7.txt,unknown,trevor_hastie_5.txt,YES
thomas_l_griffiths,thomas_l_griffiths_21.txt,unknown,thomas_l_griffiths_21.txt,YES
thorsten_joachims,thorsten_joachims_3_8.txt,unknown,thorsten_joachims_10.txt,YES
yoshua_bengio,yoshua_bengio_2_6.txt,unknown,yoshua_bengio_2_2.txt,YES
bernard_scholkopf,bernard_scholkopf_2.txt,unknown,bernard_scholkopf_3_1.txt,YES
thorsten_joachims,thorsten_joachims_10.txt,unknown,thorsten_joachims_10.txt,YES
michael_jordan,michael_jordan_3_2.txt,unknown,michael_jordan_14.txt,YES
andrew_y_ng,andrew_y_ng_19.txt,unknown,andrew_y_ng_2_6.txt,YES
david_blei,david_blei_4.txt,unknown,david_blei_19.txt,YES
zoubin_ghahramani,zoubin_ghahramani_13.txt,unknown,zoubin_ghahramani_2_8.txt,YES
vapnik,vapnik_2.txt,unknown,vapnik_7.txt,YES
alex_smola,alex_smola_2_5.txt,unknown,andrew_y_ng_14.txt,NO
radford_neal,radford_neal_3_9.txt,unknown,alex_smola_1.txt,NO
yann_lecun,yann_lecun_2_1.txt,unknown,yee_whye_teh_11.txt,NO
yann_lecun,yann_lecun_2_6.txt,unknown,yee_whye_teh_11.txt,NO
yoshua_bengio,yoshua_bengio_16.txt,unknown,michael_jordan_3_1.txt,NO
vapnik,vapnik_16.txt,unknown,michael_jordan_2.txt,NO
michael_jordan,michael_jordan_2.txt,unknown,geoffrey_hinton_3.txt,NO
radford_neal,radford_neal_12.txt,unknown,alex_smola_1.txt,NO
alex_smola,alex_smola_2_9.txt,unknown,andrew_y_ng_14.txt,NO
