Author,Known_paper,Unknown_paper,Is_same_author
yann_lecun,yann_lecun_22.txt,unknown,yann_lecun_22.txt,YES
thorsten_joachims,thorsten_joachims_8.txt,unknown,thorsten_joachims_8.txt,YES
trevor_hastie,trevor_hastie_16.txt,unknown,trevor_hastie_7.txt,YES
lawrence_saul,lawrence_saul_5.txt,unknown,lawrence_saul_7.txt,YES
vapnik,vapnik_22.txt,unknown,vapnik_22.txt,YES
lawrence_saul,lawrence_saul_7.txt,unknown,lawrence_saul_7.txt,YES
geoffrey_hinton,geoffrey_hinton_3.txt,unknown,geoffrey_hinton_20.txt,YES
thomas_l_griffiths,thomas_l_griffiths_15.txt,unknown,thomas_l_griffiths_11.txt,YES
david_blei,david_blei_22.txt,unknown,david_blei_2_2.txt,YES
alex_smola,alex_smola_18.txt,unknown,alex_smola_5.txt,YES
daphne_koller,daphne_koller_2_6.txt,unknown,daphne_koller_3_6.txt,YES
bernard_scholkopf,bernard_scholkopf_1.txt,unknown,bernard_scholkopf_14.txt,YES
xiaojin_zhu,xiaojin_zhu_2_7.txt,unknown,xiaojin_zhu_2_7.txt,YES
geoffrey_hinton,geoffrey_hinton_20.txt,unknown,geoffrey_hinton_20.txt,YES
vapnik,vapnik_14.txt,unknown,vapnik_22.txt,YES
alex_smola,alex_smola_5.txt,unknown,alex_smola_5.txt,YES
tom_mitchell,tom_mitchell_10.txt,unknown,tom_mitchell_9.txt,YES
yoshua_bengio,yoshua_bengio_5.txt,unknown,yoshua_bengio_22.txt,YES
tom_mitchell,tom_mitchell_9.txt,unknown,tom_mitchell_9.txt,YES
david_blei,david_blei_2_2.txt,unknown,david_blei_2_2.txt,YES
andrew_y_ng,andrew_y_ng_20.txt,unknown,andrew_y_ng_20.txt,YES
robert_tibshirani,robert_tibshirani_3_17.txt,unknown,robert_tibshirani_7.txt,YES
daphne_koller,daphne_koller_3_6.txt,unknown,daphne_koller_3_6.txt,YES
zoubin_ghahramani,zoubin_ghahramani_7.txt,unknown,zoubin_ghahramani_17.txt,YES
trevor_hastie,trevor_hastie_7.txt,unknown,trevor_hastie_7.txt,YES
michael_jordan,michael_jordan_13.txt,unknown,michael_jordan_13.txt,YES
thorsten_joachims,thorsten_joachims_6.txt,unknown,thorsten_joachims_8.txt,YES
zoubin_ghahramani,zoubin_ghahramani_17.txt,unknown,zoubin_ghahramani_17.txt,YES
thomas_l_griffiths,thomas_l_griffiths_11.txt,unknown,thomas_l_griffiths_11.txt,YES
michael_jordan,michael_jordan_1.txt,unknown,michael_jordan_13.txt,YES
yann_lecun,yann_lecun_6.txt,unknown,yann_lecun_22.txt,YES
yee_whye_teh,yee_whye_teh_2.txt,unknown,yee_whye_teh_2.txt,YES
andrew_y_ng,andrew_y_ng_8.txt,unknown,andrew_y_ng_20.txt,YES
radford_neal,radford_neal_13.txt,unknown,radford_neal_2_5.txt,YES
bernard_scholkopf,bernard_scholkopf_14.txt,unknown,bernard_scholkopf_14.txt,YES
yee_whye_teh,yee_whye_teh_16.txt,unknown,yee_whye_teh_2.txt,YES
yoshua_bengio,yoshua_bengio_22.txt,unknown,yoshua_bengio_22.txt,YES
radford_neal,radford_neal_2_5.txt,unknown,radford_neal_2_5.txt,YES
robert_tibshirani,robert_tibshirani_7.txt,unknown,robert_tibshirani_7.txt,YES
xiaojin_zhu,xiaojin_zhu_4.txt,unknown,xiaojin_zhu_2_7.txt,YES
tom_mitchell,tom_mitchell_3_4.txt,unknown,geoffrey_hinton_3_1.txt,NO
zoubin_ghahramani,zoubin_ghahramani_3_5.txt,unknown,lawrence_saul_15.txt,NO
zoubin_ghahramani,zoubin_ghahramani_18.txt,unknown,lawrence_saul_15.txt,NO
michael_jordan,michael_jordan_6.txt,unknown,thomas_l_griffiths_13.txt,NO
xiaojin_zhu,xiaojin_zhu_10.txt,unknown,lawrence_saul_15.txt,NO
trevor_hastie,trevor_hastie_3_1.txt,unknown,michael_jordan_6.txt,NO
michael_jordan,michael_jordan_2_1.txt,unknown,thomas_l_griffiths_13.txt,NO
andrew_y_ng,andrew_y_ng_20.txt,unknown,zoubin_ghahramani_18.txt,NO
lawrence_saul,lawrence_saul_15.txt,unknown,radford_neal_3_6.txt,NO
alex_smola,alex_smola_2_3.txt,unknown,xiaojin_zhu_18.txt,NO
thomas_l_griffiths,thomas_l_griffiths_1.txt,unknown,vapnik_2_2.txt,NO
geoffrey_hinton,geoffrey_hinton_2_5.txt,unknown,vapnik_2_2.txt,NO
radford_neal,radford_neal_19.txt,unknown,trevor_hastie_3_1.txt,NO
bernard_scholkopf,bernard_scholkopf_16.txt,unknown,radford_neal_3_6.txt,NO
yee_whye_teh,yee_whye_teh_2_1.txt,unknown,lawrence_saul_2_8.txt,NO
alex_smola,alex_smola_10.txt,unknown,xiaojin_zhu_18.txt,NO
vapnik,vapnik_2_5.txt,unknown,andrew_y_ng_20.txt,NO
yee_whye_teh,yee_whye_teh_5.txt,unknown,lawrence_saul_2_8.txt,NO
david_blei,david_blei_1.txt,unknown,thorsten_joachims_4.txt,NO
vapnik,vapnik_2_2.txt,unknown,andrew_y_ng_20.txt,NO
david_blei,david_blei_2.txt,unknown,thorsten_joachims_4.txt,NO
yoshua_bengio,yoshua_bengio_17.txt,unknown,robert_tibshirani_7.txt,NO
xiaojin_zhu,xiaojin_zhu_18.txt,unknown,lawrence_saul_15.txt,NO
thorsten_joachims,thorsten_joachims_4.txt,unknown,alex_smola_10.txt,NO
geoffrey_hinton,geoffrey_hinton_3_1.txt,unknown,vapnik_2_2.txt,NO
tom_mitchell,tom_mitchell_2_6.txt,unknown,geoffrey_hinton_3_1.txt,NO
yoshua_bengio,yoshua_bengio_15.txt,unknown,robert_tibshirani_7.txt,NO
trevor_hastie,trevor_hastie_2_7.txt,unknown,michael_jordan_6.txt,NO
yann_lecun,yann_lecun_2_9.txt,unknown,daphne_koller_3_4.txt,NO
lawrence_saul,lawrence_saul_2_8.txt,unknown,radford_neal_3_6.txt,NO
andrew_y_ng,andrew_y_ng_17.txt,unknown,zoubin_ghahramani_18.txt,NO
daphne_koller,daphne_koller_3_4.txt,unknown,lawrence_saul_2_8.txt,NO
robert_tibshirani,robert_tibshirani_7.txt,unknown,geoffrey_hinton_2_5.txt,NO
robert_tibshirani,robert_tibshirani_8.txt,unknown,geoffrey_hinton_2_5.txt,NO
yann_lecun,yann_lecun_18.txt,unknown,daphne_koller_3_4.txt,NO
daphne_koller,daphne_koller_11.txt,unknown,lawrence_saul_2_8.txt,NO
thomas_l_griffiths,thomas_l_griffiths_13.txt,unknown,vapnik_2_2.txt,NO
bernard_scholkopf,bernard_scholkopf_14.txt,unknown,radford_neal_3_6.txt,NO
radford_neal,radford_neal_3_6.txt,unknown,trevor_hastie_3_1.txt,NO
thorsten_joachims,thorsten_joachims_2_4.txt,unknown,alex_smola_10.txt,NO
