Author,Known_paper,Unknown_paper,Is_same_author
yoshua_bengio,yoshua_bengio_5.txt,unknown,yoshua_bengio_12.txt,YES
yoshua_bengio,yoshua_bengio_2_7.txt,unknown,yoshua_bengio_12.txt,YES
yoshua_bengio,yoshua_bengio_18.txt,unknown,yoshua_bengio_12.txt,YES
vapnik,vapnik_3_6.txt,unknown,vapnik_2_2.txt,YES
vapnik,vapnik_4.txt,unknown,vapnik_2_2.txt,YES
vapnik,vapnik_14.txt,unknown,vapnik_2_2.txt,YES
thorsten_joachims,thorsten_joachims_8.txt,unknown,thorsten_joachims_4.txt,YES
thorsten_joachims,thorsten_joachims_17.txt,unknown,thorsten_joachims_4.txt,YES
thorsten_joachims,thorsten_joachims_3.txt,unknown,thorsten_joachims_4.txt,YES
yee_whye_teh,yee_whye_teh_10.txt,unknown,yee_whye_teh_8.txt,YES
yee_whye_teh,yee_whye_teh_2_1.txt,unknown,yee_whye_teh_8.txt,YES
yee_whye_teh,yee_whye_teh_14.txt,unknown,yee_whye_teh_8.txt,YES
xiaojin_zhu,xiaojin_zhu_2_7.txt,unknown,xiaojin_zhu_12.txt,YES
xiaojin_zhu,xiaojin_zhu_2_5.txt,unknown,xiaojin_zhu_12.txt,YES
xiaojin_zhu,xiaojin_zhu_2_2.txt,unknown,xiaojin_zhu_12.txt,YES
lawrence_saul,lawrence_saul_1.txt,unknown,lawrence_saul_8.txt,YES
lawrence_saul,lawrence_saul_14.txt,unknown,lawrence_saul_8.txt,YES
lawrence_saul,lawrence_saul_6.txt,unknown,lawrence_saul_8.txt,YES
daphne_koller,daphne_koller_20.txt,unknown,daphne_koller_3_4.txt,YES
daphne_koller,daphne_koller_3_5.txt,unknown,daphne_koller_3_4.txt,YES
daphne_koller,daphne_koller_2_2.txt,unknown,daphne_koller_3_4.txt,YES
thomas_l_griffiths,thomas_l_griffiths_10.txt,unknown,thomas_l_griffiths_1.txt,YES
thomas_l_griffiths,thomas_l_griffiths_2_4.txt,unknown,thomas_l_griffiths_1.txt,YES
thomas_l_griffiths,thomas_l_griffiths_14.txt,unknown,thomas_l_griffiths_1.txt,YES
yann_lecun,yann_lecun_3.txt,unknown,yann_lecun_16.txt,YES
yann_lecun,yann_lecun_17.txt,unknown,yann_lecun_16.txt,YES
yann_lecun,yann_lecun_3_3.txt,unknown,yann_lecun_16.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_3.txt,unknown,zoubin_ghahramani_3_5.txt,YES
zoubin_ghahramani,zoubin_ghahramani_3_9.txt,unknown,zoubin_ghahramani_3_5.txt,YES
zoubin_ghahramani,zoubin_ghahramani_2_8.txt,unknown,zoubin_ghahramani_3_5.txt,YES
tom_mitchell,tom_mitchell_3_3.txt,unknown,tom_mitchell_2.txt,YES
tom_mitchell,tom_mitchell_3_6.txt,unknown,tom_mitchell_2.txt,YES
tom_mitchell,tom_mitchell_3_4.txt,unknown,tom_mitchell_2.txt,YES
trevor_hastie,trevor_hastie_19.txt,unknown,trevor_hastie_5.txt,YES
trevor_hastie,trevor_hastie_6.txt,unknown,trevor_hastie_5.txt,YES
trevor_hastie,trevor_hastie_11.txt,unknown,trevor_hastie_5.txt,YES
alex_smola,alex_smola_2.txt,unknown,alex_smola_17.txt,YES
alex_smola,alex_smola_9.txt,unknown,alex_smola_17.txt,YES
alex_smola,alex_smola_20.txt,unknown,alex_smola_17.txt,YES
radford_neal,radford_neal_2.txt,unknown,radford_neal_2_1.txt,YES
radford_neal,radford_neal_3_5.txt,unknown,radford_neal_2_1.txt,YES
radford_neal,radford_neal_3_9.txt,unknown,radford_neal_2_1.txt,YES
david_blei,david_blei_16.txt,unknown,david_blei_1.txt,YES
david_blei,david_blei_15.txt,unknown,david_blei_1.txt,YES
david_blei,david_blei_2.txt,unknown,david_blei_1.txt,YES
robert_tibshirani,robert_tibshirani_3_17.txt,unknown,robert_tibshirani_1.txt,YES
robert_tibshirani,robert_tibshirani_5.txt,unknown,robert_tibshirani_1.txt,YES
robert_tibshirani,robert_tibshirani_17.txt,unknown,robert_tibshirani_1.txt,YES
geoffrey_hinton,geoffrey_hinton_13.txt,unknown,geoffrey_hinton_5.txt,YES
geoffrey_hinton,geoffrey_hinton_11.txt,unknown,geoffrey_hinton_5.txt,YES
geoffrey_hinton,geoffrey_hinton_12.txt,unknown,geoffrey_hinton_5.txt,YES
bernard_scholkopf,bernard_scholkopf_12.txt,unknown,bernard_scholkopf_8.txt,YES
bernard_scholkopf,bernard_scholkopf_21.txt,unknown,bernard_scholkopf_8.txt,YES
bernard_scholkopf,bernard_scholkopf_5.txt,unknown,bernard_scholkopf_8.txt,YES
andrew_y_ng,andrew_y_ng_3.txt,unknown,andrew_y_ng_2_10.txt,YES
andrew_y_ng,andrew_y_ng_2_7.txt,unknown,andrew_y_ng_2_10.txt,YES
andrew_y_ng,andrew_y_ng_14.txt,unknown,andrew_y_ng_2_10.txt,YES
michael_jordan,michael_jordan_13.txt,unknown,michael_jordan_6.txt,YES
michael_jordan,michael_jordan_2_3.txt,unknown,michael_jordan_6.txt,YES
michael_jordan,michael_jordan_2_4.txt,unknown,michael_jordan_6.txt,YES
andrew_y_ng,andrew_y_ng_8.txt,unknown,yoshua_bengio_22.txt,NO
andrew_y_ng,andrew_y_ng_2_4.txt,unknown,yoshua_bengio_22.txt,NO
andrew_y_ng,andrew_y_ng_2_7.txt,unknown,yoshua_bengio_22.txt,NO
yoshua_bengio,yoshua_bengio_15.txt,unknown,vapnik_2_10.txt,NO
thomas_l_griffiths,thomas_l_griffiths_2_8.txt,unknown,xiaojin_zhu_15.txt,NO
thomas_l_griffiths,thomas_l_griffiths_5.txt,unknown,xiaojin_zhu_15.txt,NO
thomas_l_griffiths,thomas_l_griffiths_21.txt,unknown,xiaojin_zhu_15.txt,NO
